overall results: 
-1 1080000 540000 
1 5 46 
0.022050025 0.011893816 1.1744351E-5 

hitrates per trace: 
0.012592735 0.012676614 0.012667004 
0.009427726 0.011961451 0.012064036 
0.23557808 0.23586759 0.23558271 
0.27882534 0.278828 0.27882805 
0.007169128 0.0075706504 0.007317948 
0.44593868 0.5652078 0.5768444 
0.06775153 0.075578675 0.10104243 
0.0062708515 0.00867434 0.0093053775 
0.25483352 0.25515863 0.2551186 
0.005809854 0.025335921 0.038080648 
0.005775905 0.015968706 0.018529946 
0.91827536 0.9283472 0.93049043 
0.040854152 0.062565565 0.065383114 
0.32226318 0.3222638 0.32250124 
0.0035667089 0.0045500044 0.0048488257 
0.09117069 0.100469634 0.11601574 
0.13524355 0.21175571 0.2323457 
0.15633973 0.16421114 0.17911151 
0.0015575158 0.026404368 0.030901894 
0.21858315 0.21895775 0.21903037 
0.06760894 0.06940542 0.07009276 
0.08523133 0.095546044 0.097086325 
0.015000534 0.020744866 0.022920154 
0.15028606 0.16816244 0.16922338 
0.033312947 0.036780845 0.038779423 
0.3752393 0.3849083 0.386331 
0.04793339 0.05498924 0.08377189 
0.1483926 0.15464607 0.15842314 
0.039995737 0.056141403 0.07730494 
0.0024999985 0.01678807 0.02879344 
0.018367851 0.019177554 0.024612954 
0.21269612 0.2298787 0.23524445 
0.78060013 0.795865 0.7975614 
0.006180514 0.007101523 0.017022176 
0.10758771 0.11281888 0.43209466 
0.8010853 0.8093303 0.8105578 
0.06623299 0.070008166 0.090314165 
0.15213028 0.15234111 0.16925666 
0.8607824 0.86624163 0.86703473 
0.8301245 0.8380451 0.83905685 
0.8472213 0.8564019 0.85700744 
0.1449864 0.14635153 0.15112606 
0.14297496 0.1508226 0.15279937 
0.04653966 0.048295673 0.05718766 
0.8248347 0.83182895 0.8326624 
0.3182232 0.32017165 0.3208088 
0.8428782 0.84658986 0.8472802 
0.013407383 0.013766041 0.0138837965 
0.27172738 0.27421764 0.27957553 
0.0014719624 0.0014719624 0.0014719624 
