**************** cost benefit vs static ******************
1 lifetime hitrate: 0.088050 vs. 0.012595
2 lifetime hitrate: 0.015527 vs. 0.009433
3 lifetime hitrate: 0.216776 vs. 0.234927
4 lifetime hitrate: 0.244168 vs. 0.278827
5 lifetime hitrate: 0.068180 vs. 0.007149
6 lifetime hitrate: 0.621556 vs. 0.446185
7 lifetime hitrate: 0.149502 vs. 0.066982
8 lifetime hitrate: 0.004630 vs. 0.006281
9 lifetime hitrate: 0.240782 vs. 0.254698
10 lifetime hitrate: 0.071365 vs. 0.005703
11 lifetime hitrate: 0.027164 vs. 0.005791
12 lifetime hitrate: 0.927360 vs. 0.918346
13 lifetime hitrate: 0.063417 vs. 0.041233
14 lifetime hitrate: 0.315512 vs. 0.322602
15 lifetime hitrate: 0.004406 vs. 0.003495
16 lifetime hitrate: 0.128043 vs. 0.089884
17 lifetime hitrate: 0.233224 vs. 0.135429
18 lifetime hitrate: 0.166343 vs. 0.154679
19 lifetime hitrate: 0.035854 vs. 0.001568
20 lifetime hitrate: 0.213000 vs. 0.218137
21 lifetime hitrate: 0.069582 vs. 0.068136
22 lifetime hitrate: 0.091539 vs. 0.085557
23 lifetime hitrate: 0.025695 vs. 0.014989
24 lifetime hitrate: 0.220226 vs. 0.149970
25 lifetime hitrate: 0.035714 vs. 0.033404
26 lifetime hitrate: 0.385276 vs. 0.374966
27 lifetime hitrate: 0.085119 vs. 0.047535
28 lifetime hitrate: 0.148968 vs. 0.150487
29 lifetime hitrate: 0.082864 vs. 0.040294
30 lifetime hitrate: 0.041409 vs. 0.002508
31 lifetime hitrate: 0.019788 vs. 0.018105
32 lifetime hitrate: 0.209472 vs. 0.211824
33 lifetime hitrate: 0.796949 vs. 0.780532
34 lifetime hitrate: 0.013680 vs. 0.006141
35 lifetime hitrate: 0.436229 vs. 0.104561
36 lifetime hitrate: 0.809826 vs. 0.801075
37 lifetime hitrate: 0.122519 vs. 0.064447
38 lifetime hitrate: 0.235140 vs. 0.151558
39 lifetime hitrate: 0.868617 vs. 0.862961
40 lifetime hitrate: 0.841860 vs. 0.833384
41 lifetime hitrate: 0.855626 vs. 0.847041
42 lifetime hitrate: 0.154420 vs. 0.144826
43 lifetime hitrate: 0.152789 vs. 0.143340
44 lifetime hitrate: 0.049729 vs. 0.046622
45 lifetime hitrate: 0.831876 vs. 0.824935
46 lifetime hitrate: 0.325321 vs. 0.323997
47 lifetime hitrate: 0.846916 vs. 0.842832
48 lifetime hitrate: 0.014283 vs. 0.013209
49 lifetime hitrate: 0.271499 vs. 0.264387
50 lifetime hitrate: 0.002763 vs. 0.001415
